locationId,id,typeOfProvider,providerName,address,suburb,state,postcode,lat,lng,geoData
84,1-MRO3Z,Long Day Care,Camperdown Sunshine Kids,35-41 Australia Street,CAMPERDOWN,NSW,2050,-33.88939,151.17495,0xE6100000010CFD87F4DBD7F140C09A99999999E56240
85,1-631-1747,Long Day Care,Kindalin Early Childhood Learning Centre - Glenhaven,1 Glenhaven Rd,GLENHAVEN,NSW,2156,-33.6966,150.9902,0xE6100000010C613255302AD940C048E17A14AEDF6240
86,1-1AK43Q,Long Day Care,Beecroft Long Day & Early Learning Centre,23A Wongala Cres,BEECROFT,NSW,2119,-33.74803,151.06596,0xE6100000010C39B4C876BEDF40C0273108AC1CE26240
87,1-1AK4LI,Long Day Care,Booker Bay Pre-School,32 Telopea St,BOOKER BAY,NSW,2257,-33.51552,151.34664,0xE6100000010C448B6CE7FBC140C0C976BE9F1AEB6240
88,1-D4K0DR,Long Day Care,Goodstart Early Learning Gateshead,62 Felton St,GATESHEAD,NSW,2290,-32.9788,151.6929,0xE6100000010C93A98251497D40C01904560E2DF66240
89,1-1AO8ZZ,Long Day Care,Thirlmere Pegasus Early Education Centre,6 Antill Street,THIRLMERE,NSW,2572,-34.20719,150.57105,0xE6100000010C98DD9387851A41C083C0CAA145D26240
90,1-D6I2M3,Long Day Care,Goodstart Early Learning Port Macquarie,414 Ocean Dr,PORT MACQUARIE,NSW,2444,-31.4677,152.9055,0xE6100000010CD656EC2FBB773FC0295C8FC2F51C6340
91,1-1AOHVK,Long Day Care,Tattle Tales Child Care Centre,3 Brissendon Cl,TARRAWANNA,NSW,2518,-34.37767,150.88562,0xE6100000010C7FD93D79583041C03108AC1C5ADC6240
92,1-1AR1FR,Long Day Care,Tralee Gardens Pre-School,10 Fryer Ave,WENTWORTHVILLE,NSW,2145,-33.80441,150.968,0xE6100000010C82734694F6E640C0E5D022DBF9DE6240
93,1-1ARY1G,Long Day Care,Children's Village,68 Metella Rd,TOONGABBIE,NSW,2146,-33.79137,150.94106,0xE6100000010CF7065F984CE540C0273108AC1CDE6240
94,1-1AUFD6,Long Day Care,Shellharbour City Children's Centre,2 Kowari Crescent,BLACKBUTT,NSW,2529,-34.57393,150.83742,0xE6100000010C5396218E754941C0105839B4C8DA6240
95,1-1AVLNL,Long Day Care,My Little Angels Learning Academy,107 Gloucester Rd,HURSTVILLE,NSW,2220,-33.95816,151.09239,0xE6100000010C7B832F4CA6FA40C06DE7FBA9F1E26240
96,1-D6USPY,Long Day Care,Goodstart Early Learning Tatton,1 Stirling Bvd,TATTON,NSW,2650,-35.16253,147.36224,0xE6100000010CCDCCCCCCCC9441C0DD240681956B6240
97,1-1AWTM7,Long Day Care,Crest Road Early Learning Centre,30 Crest Road,QUEANBEYAN,NSW,2620,-35.34569,149.22051,0xE6100000010C151DC9E53FAC41C0508D976E12A76240
98,1-1AWTPO,Long Day Care,KU Concord Children's Centre,2 Crane St,CONCORD,NSW,2137,-33.8628,151.1084,0xE6100000010C917EFB3A70EE40C0FA7E6ABC74E36240
99,1-1B52UD,Long Day Care,Wembley Road Preschool,10 Wembley Rd,MOSS VALE,NSW,2577,-34.547,150.38716,0xE6100000010CBC749318044641C0AAF1D24D62CC6240
100,1-1BBVPG,Long Day Care,Craitons Child Care,413 Griffith Rd,LAVINGTON,NSW,2641,-36.04543,146.94014,0xE6100000010C849ECDAACF0542C0AE47E17A145E6240
101,1-4ODFFO,Long Day Care,Carabella Early Learning Centre,234 Windsor Rd,WINSTON HILLS,NSW,2153,-33.77186,151.00066,0xE6100000010C26E4839ECDE240C079E9263108E06240
102,1-1BER8V,Long Day Care,Babyland Child Care Centre,5 Cumberland St,CARLTON,NSW,2218,-33.96653,151.12066,0xE6100000010CC1CAA145B6FB40C01D5A643BDFE36240
103,1-1BER9R,Long Day Care,Little Learning School,2 Marion St,LEICHHARDT,NSW,2040,-33.88401,151.15649,0xE6100000010CFED478E926F140C0A245B6F3FDE46240
104,1-1BEYL3,Long Day Care,North Wyong Early Childhood Learning Centre,27 Amsterdam Cct,WYONG,NSW,2259,-33.26169,151.45454,0xE6100000010C7DAEB6627FA140C0C3F5285C8FEE6240
105,1-1BI98Q,Long Day Care,Your Kids Our Kids Child Care Centre,6 Metcalfe Ave,MOOREBANK,NSW,2170,-33.93686,150.94826,0xE6100000010CABCFD556ECF740C07593180456DE6240
106,1-1BP6QN,Long Day Care,Farran Street Quality Child Care,11 Farran St,LANE COVE NORTH,NSW,2066,-33.80402,151.16076,0xE6100000010CF4FDD478E9E640C0FED478E926E56240
107,1-1BQE5G,Long Day Care,Bass Hill Early Learning Centre,6 Baden Ave,BASS HILL,NSW,2197,-33.89443,150.99632,0xE6100000010C6DC5FEB27BF240C01D5A643BDFDF6240
108,1-1BTKCJ,Long Day Care,"Create, Imagine, Learn Early Learning Childcare Centre",38 Mawson Dr,CARTWRIGHT,NSW,2168,-33.92438,150.88516,0xE6100000010C11363CBD52F640C0B81E85EB51DC6240
109,1-1CFI3H,Long Day Care,Bright Start Preschool Bateau Bay,43 Rotherham St,BATEAU BAY,NSW,2261,-33.38375,151.46085,0xE6100000010CD3BCE3141DB140C0986E1283C0EE6240
110,1-1CFIB1,Long Day Care,Heaven for Kids,80 Little Bay Rd,CHIFLEY,NSW,2036,-33.97673,151.24125,0xE6100000010C69006F8104FD40C0C1CAA145B6E76240
111,1-1CJ9UL,Long Day Care,Glendore Child Care Centre,4-8 Glendore St,MARYLAND,NSW,2287,-32.87461286,151.6490144,0xE6100000010C728A8EE4F26F40C054E3A59BC4F46240
112,1-55JWZN,Long Day Care,Bright Start Kidz,1 Carmelo Court,KELLYVILLE,NSW,2155,-33.7071,150.97701,0xE6100000010C3480B74082DA40C02506819543DF6240
113,1-1CYU8L,Long Day Care,Puggles Child Care Centre,34 Lions Dr,MUDGEE,NSW,2850,-32.61404,149.59502,0xE6100000010C3BDF4F8D974E40C0D7A3703D0AB36240
114,1-6PX-3182,Long Day Care,Rainbow Child Care Centre Narraweena,84 Mcintosh Rd,NARRAWEENA,NSW,2099,-33.74914,151.27186,0xE6100000010C80B74082E2DF40C062105839B4E86240
115,1-1CZCVY,Long Day Care,3 Bears Cottage Early Education Service,11 Scarba Street,COFFS HARBOUR,NSW,2450,-30.29418,153.11168,0xE6100000010CB37BF2B0504B3EC0DD24068195236340
116,1-D3B3XJ,Long Day Care,Goodstart Early Learning Dubbo - Wheelers Lane,448 Wheelers Lane,DUBBO,NSW,2830,-32.26173,148.62903,0xE6100000010C7DAEB6627F2140C0E3A59BC420946240
117,1-1D7G3X,Long Day Care,Fairfield Heights Childcare Centre,139 Camden St,FAIRFIELD HEIGHTS,NSW,2165,-33.86687,150.93855,0xE6100000010C82734694F6EE40C0355EBA490CDE6240
118,1-D6CQAS,Long Day Care,Goodstart Early Learning Orange - Molong Road,90 Molong Rd,ORANGE,NSW,2800,-33.26721,149.08195,0xE6100000010CE0BE0E9C33A240C0B4C876BE9FA26240
119,1-1D91Y2,Long Day Care,Wellbank Children's Centre,60 Flavelle Street,CONCORD,NSW,2137,-33.8566,151.09816,0xE6100000010C76E09C11A5ED40C04260E5D022E36240
120,1-DA8VKZ,Long Day Care,Goodstart Early Learning West Kempsey,14 - 16 Kemp St,KEMPSEY,NSW,2440,-31.08089,152.83105,0xE6100000010C143FC6DCB5143FC03BDF4F8D971A6340
121,1-1DD8U8,Long Day Care,Ekidna Cottage,67 Broughton Road,ARTARMON,NSW,2064,-33.81123,151.17855,0xE6100000010CF241CF66D5E740C07D3F355EBAE56240
